filename,technology,node_nm,local_tsv_projection,global_tsv_projection,tsv_redundancy,total_area_mm2,read_latency_ns,write_latency_ns,write_energy_nJ,leakage_power_mW
TSVGrid_3D_SRAM_45nm_L1_G2_R1p2_output.txt,3D_SRAM,45,1,2,1.2,5.548,0.65,0.367,0.143,52.461
TSVGrid_3D_SRAM_45nm_L1_G2_R1p5_output.txt,3D_SRAM,45,1,2,1.5,5.612,0.65,0.367,0.147,52.461
TSVGrid_3D_SRAM_45nm_L2_G0_R1_output.txt,3D_SRAM,45,2,0,1.0,5.249,0.654,0.367,0.14,51.269
TSVGrid_3D_SRAM_45nm_L2_G0_R1p2_output.txt,3D_SRAM,45,2,0,1.2,5.25,0.654,0.367,0.142,51.269
TSVGrid_3D_SRAM_45nm_L2_G0_R1p5_output.txt,3D_SRAM,45,2,0,1.5,5.252,0.654,0.367,0.145,51.269
TSVGrid_3D_SRAM_45nm_L2_G1_R1_output.txt,3D_SRAM,45,2,1,1.0,5.279,0.654,0.367,0.141,51.269
TSVGrid_3D_SRAM_45nm_L2_G1_R1p2_output.txt,3D_SRAM,45,2,1,1.2,5.338,0.65,0.367,0.143,52.461
TSVGrid_3D_SRAM_45nm_L2_G1_R1p5_output.txt,3D_SRAM,45,2,1,1.5,5.349,0.65,0.367,0.147,52.461
TSVGrid_3D_SRAM_45nm_L2_G2_R1_output.txt,3D_SRAM,45,2,2,1.0,5.249,0.654,0.367,0.141,51.269
TSVGrid_3D_SRAM_45nm_L2_G2_R1p2_output.txt,3D_SRAM,45,2,2,1.2,5.302,0.65,0.367,0.143,52.461
TSVGrid_3D_SRAM_45nm_L2_G2_R1p5_output.txt,3D_SRAM,45,2,2,1.5,5.304,0.65,0.367,0.147,52.461
